spl,treatment,week,rep,salinity,pH,temp,O2,NO3,NO2,PO4,Si,NH4,P,aCy,Al,"BB,Car",Bca,bCy,"BE,Car",Ca,"Ca,allo","Ca,epi","Ca,iso1","Ca,iso2","Ca,iso3","Ca,iso4","Ca,iso5","Ca,iso7",Car1,Car2,Cb,Cc2,Cda,Ct,"Ct,iso",Ec,F,"F,iso1",L,"L,iso1","L,iso2","My,iso1","My,iso2","My,iso3","My,iso4",O,"Pda,1",Pha,Pya,Z,EPS.prot.col,EPS.prot.bound,EPS.carbo.bound,EPS.carbo.col
C-R1-P2,C,P2,R1,"60,8","7,913","19,8","0,2","0,42","2,1","34,11","312,12","117,95","288,514","41,8806839000","29,6002165000","117,9658200000","40,8477938000","32,7192843000","8,1308216700","47,7742840000","4,5778920100","4,1300547500","3,6026019800","7,0409969600","0,8210349800","1,5126947500","5,9413076800","0,1343511800","5,7272449500","8,8460417000","0,0844830900","0,3829793400","0,1841108700","9,5832118400","19,4499507000","34,1318205000","16,4957883000","1,2279743100","15,1970460000","15,9909215000","10,7173197000","227,7855740000","22,3986312000","50,8647398000","35,0439344000","12,4751870000","23,4424011000","58,5091334000","52,3094901000","88,0067738000","537,0408725","183,9142299",0,"223,787922"
C-R3-P2,C,P2,R3,"60,9","8,037","19,7","0,8","0,25","0,67","31,98","295,95","128,1","312,274","20,5442494000","28,4345406000","71,7228546000","53,3293693000","17,2403496000","5,3101099200","29,4114480000","2,9521760600","3,0047058900","1,3342575100","2,8576223800","0,3834677100","0,3624557800","2,9101522100","0,1208185900","4,8488374500","3,7713180200","0,1408204300","0,4778089000","0,1050596500","6,8242897400","17,7790706000","31,4221117000","19,4234310000","1,5772085200","16,8212756000","14,2472014000","8,2011201300","169,5297240000","17,8389328000","39,3893215000","25,0822579000","10,5956078000","13,9076534000","46,0179707000","44,7908248000","67,4646889000","122,9066845","150,8351847",0,"122,907882"
C-R4-P2,C,P2,R4,"59,8","7,941","20,1","1,5","1,43","1,78","4,31","116,88","116,83","203,65","19,8181598000","57,1660719000","59,9614714000","45,6220126000","13,0427206000","4,6834216500","25,8176446000","2,9871246900","3,2438692900","27,8716014000","24,9239759000","4,2264111200","3,1846205300","5,2188277600","0,1382470900","5,1201895100","3,3196833100","0,1764803900","0,4560126100","0,1135601100","4,7263287800","17,5549355000","35,2820519000","23,1506475000","2,1322964800","21,6060744000","22,6751250000","8,6649360900","101,6723350000","15,8106951000","51,4269584000","40,2300604000","9,0025310100","28,6433131000","50,1738572000","45,1756952000","65,8310080000","232,2985656","220,0381067",0,"229,450514"
C-R5-P2,C,P2,R5,"63,5","8,127",20,"0,2","0,38","0,15","48,3","374,76","111,13","296,253","42,8446894000","22,3785025000","113,0661380000","49,7997973000","37,2305577000","7,3349867900","35,6057371000","3,9378188200","7,5242312300","0,4444257500","4,8318380500","0,2532193200","0,6407999100","7,4828893000","0,1240257900","7,0668955400","9,3047457900","0,1200639400","0,5785297300","0,2532193200","11,3659237000","13,7215555000","34,9844878000","12,6892340000","1,1052599100","13,9571187000","8,5980562400","10,0703261000","273,9010930000","21,5540314000","56,8885091000","31,5654667000","13,3682107000","19,5169297000","36,6193940000","45,4724343000","89,8084641000","175,3525771","215,8447179","18,89982","202,292141"
C-R6-P2,C,P2,R6,"60,4","7,944","20,1",2,"2,02","0,69","9,44","103,75","124,31","290,302","19,7154398000","44,2493380000","60,6764850000","43,8220439000","11,2325354000","5,9861797800","34,9412984000","3,4378554200","2,8137209500","0,2916038100","1,1817628000","0,1227805500","0,0465542900","1,3761653400","0,1637074000","5,6550537400","3,9643675700","0,2240025200","4,3669991600","0,0920854100","4,7805608900","15,3910741000","34,3583710000","53,7823160000","3,5981126900","29,0331625000","24,0194035000","12,3594989000","128,4338490000","24,0194035000","45,5902271000","17,0817603000","7,4040394300","10,5568223000","53,7800381000","58,5604859000","78,8209552000","200,3491717","88,32136566",0,"74,0373951"
T°C/pH-R2-P2,T°C/pH,P2,R2,"67,6","8,111","20,8","0,3","0,4","0,12","47,95","452,06","104,42","234,169","14,5370346000","33,7217477000","82,0631788000","41,4177288000","15,0195917000","5,0034069800","31,7433480000","3,3230822900","4,4413258600","11,3301282000","12,4061739000","1,9094536400","1,6720906100","3,3441812300","0,1054946800","6,0711168000","3,0055033600","0,0895555800","0,5314568200","0,0738462700","5,5902362600","19,4756618000","31,5522240000","12,3010992000","1,3017036200","19,2352215000","15,2078470000","9,1968402900","193,7347470000","16,3499383000","40,3338551000","42,6180377000","10,6995920000","17,8672949000","38,4044155000","44,7709229000","76,2195653000","149,4862637","159,5468711","285,374503","113,423787"
T°C/pH-R3-P2,T°C/pH,P2,R3,"65,4","8,045",21,"0,1","0,16","0,1","19,62","322,75","136,29","275,396","21,5390423000","36,5456345000","106,4562270000","47,9617398000","17,5713240000","6,5205296800","53,8089346000","5,5563573800","7,6331760600","0,2726134300","1,9578600900","0,1883511000","0,2478303900","3,2317083100","0,2627002200","7,9643500200","4,1798716400","0,1815962600","3,5374448200","0,1635680600","6,2133227100","18,6399681000","34,7091740000","27,1141825000","2,1813665600","16,2676086000","19,3177852000","11,8053132000","170,4144970000","14,5165812000","42,4765335000","34,5686682000","11,9747674000","15,2458154000","77,5799719000","69,0886317000","87,0994875000","473,1216656","103,1945659","165,910511","170,478144"
T°C/pH-R4-P2,T°C/pH,P2,R4,"66,6","8,085","20,9",1,"0,79","0,14","26,79","244,59","134,04","231,631","19,8275701000","60,0249114000","136,3230580000","49,3142908000","24,6833016000","8,0498853200","52,6675577000","5,5402287400","7,5015505900","14,4773860000","24,0464125000","3,7255005300","1,9714317600","7,4459461000","0,1870332700","9,6201153500","4,3204110900","0,1355117300","2,4050881400","0,1213188800","8,2951892800","20,5075513000","45,2657904000","41,4990346000","3,0147094300","25,8648610000","21,8324774000","13,3068661000","288,2578280000","26,4409158000","71,0275583000","57,2022428000","15,5534799000","18,6973369000","68,2944831000","70,6562519000","100,2335370000","205,4799072","122,927385","129,681897","118,881501"
T°C/pH-R5-P2,T°C/pH,P2,R5,"64,7","7,946","21,3","0,4","0,08","0,29","28,9","221,06","120,73","233,318","21,2927164000","49,7385416000","89,2384144000","54,3877386000","21,6933857000","6,2726807800","37,4746624000","3,9291585300","5,5859120100","9,6502135700","13,3090860000","2,0421613800","1,0661283700","3,2534433700","0,2252383900","7,1299515000","4,6772481800","0,1744347400","2,8717636300","0,1201271400","5,8180404200","18,8230720000","48,8550385000","35,6358628000","3,0056822500","29,7746775000","22,1313694000","10,4382490000","183,6105110000","24,9263104000","55,3284236000","39,9847680000","10,8375263000","18,3187888000","52,4229168000","50,4741095000","96,8532611000","323,4802514","153,5024519","137,18781","225,269353"
T°C/pH-R6-P2,T°C/pH,P2,R6,"65,2","8,038","21,2","0,1","0,2","0,2","31,53","288,94","128,31","214,72","9,0218915900","30,1784549000","46,5870286000","28,4968134000","10,2286414000","4,0011264300","18,6177816000","1,7838900000","1,4773624200","11,2359945000","17,8941755000","2,5024710500","1,6984642800","4,2310855800","0,1105509300","3,4931418400","2,8632310200","0,1167485700","0,4852033000","0,0552754600","4,6384342500","11,6247179000","24,7488700000","14,7363376000","1,1780802900","16,5494753000","12,9418042000","8,9905453900","126,6693400000","10,6512194000","35,1032122000","34,1297137000","4,2375819000","13,8911139000","38,1516509000","30,5213207000","53,1415676000","431,5458959","140,5837839","87,9131048","84,1284077"
