ID;treatment;time;rep;salinity;pH;temp;O2;NO3;NO2;PO4;Si;NH4;P;aCy;Al;BB.Car;Bca;bCy;BE.Car;Ca;Ca.allo;Ca.epi;Ca.iso1;Ca.iso2;Ca.iso3;Ca.iso4;Ca.iso5;Ca.iso7;Car1;Car2;Cb;Cc2;Cda;Ct;Ct.iso;Ec;F;F.iso1;L;L.iso1;L.iso2;My.iso1;My.iso2;My.iso3;My.iso4;O;Pda.1;Pha;Pya;Z;EPS.prot.col;EPS.prot.bound;EPS.carb.bound;EPS.carb.col
C-R5-P7;C;P7;R5;61.2;8.015;20.1;3.8;0.81;0.34;5.1;97.01;15.4;NA;3.67657340944984;3.86066015913174;2.54829842587367;5.53762748864245;0.493868069926098;0.0963502664280786;6.58409320378087;0.680434674073412;0.810955288564221;0.202498894540888;0.866138636602615;0.054223637637726;0.108447275275452;0.981783739883075;0.110366696076787;0.880405503711345;0.311696358456811;0.143217193200646;2.89415918455983;0.0489452304340536;0.0180455786474996;1.00070936136134;1.6586336683845;21.7220110089016;0.716435580249981;0.432000216106809;1.41630450597042;0.661671217074986;12.2819301946316;2.94197615525903;1.39443107730679;2.11625422320677;0.787443431890892;3.12007966468838;6.16542688231835;8.61291452348109;4.06298937427037;211.4014292;224.263918335464;181.378395;231.557797
C-R6-P7;C;P7;R6;61.7;8.054;19.9;3.3;0.96;0.25;3.07;51.44;24.65;438.88;3.75094007887639;3.53152005109274;3.37522547684973;6.10486784138467;0.644333265083061;0.101012939967639;7.33485986970364;0.969429010213917;0.64997523673917;0.193181494510713;0.525715265009623;0.0603692170345978;0.0407492214983535;0.408498368600779;0.00955845936381133;1.00327274178771;0.217853509645332;0.0593398868610067;1.66846684824951;0.0498046040535432;0.0309581303180208;1.07206858693887;2.26147078038305;13.3626518399207;0.457284926699052;0.716623386991222;1.53644054170918;0.991806767595851;10.1817850823713;2.36199068352307;4.03602291553456;1.76002703845044;1.18672832885746;2.84015018299701;9.28435301200403;11.5564731584016;5.66419125077862;324.943556;91.6421621655689;108.618418;163.572146
TC/pH-R2-P7;TC/pH;P7;R2;63.1;7.785;23.5;0.7;0.2;0.04;8.15;172.24;102.53;389.823;1.92520653860575;4.56296050474514;1.23564661200561;2.78682825042786;0.2543816447407;0.0420049839775278;1.91355409914065;0.264914755072575;0.265925880091936;14.754841845025;12.1643395454222;2.58140217442857;1.47068134066054;1.3523797133953;0.0333671256389122;0.570370063093143;0.184362040595763;0.0121976764917242;0.275914425261776;0.0121335002323317;0.0455143787720791;0.772016044994759;1.27666495154612;3.73457777774636;0.228732491955512;0.524279552944202;0.921810202978817;0.702880279771348;7.18435826946615;0.305349629736733;1.79176858204008;3.35308461333545;0.760493417457524;20.1367556831603;3.36596795876874;4.38953716260484;3.84279628366794;688.0646498;803.066711096718;247.836605;458.6328
TC/pH-R3-P7;TC/pH;P7;R3;68.3;7.896;23.7;1.1;0.27;0.18;11.67;238.31;117.47;372.665;4.23526629999654;3.57923527236041;3.52787384753157;3.67937371650981;0.469618850512963;0.110575150445019;7.04746115820309;0.955935974518321;0.529301064649762;0.0425874419833142;0.209134759739489;0.00585577327270571;0.0129283306020775;0.261608572183216;0.0638811629749713;1.00530579078404;0.216660730772422;0.0373761619557407;1.27705532578607;0.0212937209916571;0.0502652895392019;2.83392235850328;2.91467585527825;11.904814348723;0.41601164171838;0.753979343088028;1.58595654925413;0.736646484626235;6.83781266317764;1.56862369079234;2.90325379235045;2.82525592927238;1.22196652155646;2.54642556195918;10.8963326372207;18.0618557301756;4.65387249699162;323.3292351;188.929946030318;101.240995;233.400875
TC/pH-R4-P7;TC/pH;P7;R4;69.3;8.028;23.6;3.7;3.07;0.29;11.82;172.58;82.87;486.92;3.94752413638639;4.99904037921403;3.48064024885205;1.34267867924354;0.462929269725483;0.0917299040693074;7.19760756754187;0.814781836309321;0.487249842490308;0.310603373913761;0.686713146591325;0.0816989917166528;0.0353292937153093;0.334892263343036;0.0772828300022391;0.855540467583609;0.159365381216555;0.0466971689781326;1.56556911277031;0.0257609433340797;0.0436157885434781;2.44080662810618;2.39909843820064;13.1838481596393;0.581239689242422;0.78005160279682;1.56010320559364;0.620686221580266;6.37461524866219;1.57687850887959;2.0046487426714;5.89651910501252;0.729725692938961;2.43585621940422;13.6981090926496;14.7870801083833;3.88348271069815;506.7601211;386.63129849957;61.8423791;129.198921
TC/pH-R5-P7;TC/pH;P7;R5;64.6;7.869;23.7;0.5;0.27;0.18;10.29;146.97;118.11;407.295;3.93788017498255;4.84262752487993;3.08428641588854;1.36560408288963;0.477572702072352;0.0760925924972503;7.22702353752759;0.83450727993146;0.54803463159678;1.07408926460011;1.44774924068882;0.226393985512573;0.102573326769451;0.32310597932377;0.0337026645099624;0.843285137953229;0.200384587236411;0.036008711442929;2.26586284411977;0.109899992967269;0.037572110106827;1.28580110143364;2.12571179431249;17.2400558570477;0.901027215741526;0.960176147174468;1.26075302802908;0.793188991144126;8.08217835186857;2.01219523016563;1.97044844115804;3.62362128585843;0.768140917739575;3.87957650022561;11.1252561403529;10.46915129105;4.40846091920104;654.9924293;87.8379138804143;86.019396;173.25756
TC/pH-R6-P7;TC/pH;P7;R6;67.4;7.768;24.2;1.2;0.26;0.24;8.78;155.27;93.56;408.408;2.75505887782847;4.76655422848064;2.60013651590313;3.07174142437859;0.415396903974137;0.0628767009535608;4.14264684016077;0.618058335791877;0.547011007649855;4.47331072076161;6.06733498524126;1.07959887349644;0.470087584699094;0.997867736611259;0.0277779027322192;1.02270895323723;0.413953623929353;0.0200485923385126;0.560650625737023;0.025641140983587;0.0280027451481621;2.03324279988829;2.01865232624753;7.18682332382696;0.467989412404507;0.937483207134124;1.40013725740811;1.0287965065303;10.6775684760601;0.700068628704053;2.17325652562911;3.62209420938184;0.949658313720281;8.34025804713297;10.0457472238534;9.1930026354932;5.05875678654842;153.609084;341.655590154628;134.132194;105.265868
TC-R1-P7;TC;P7;R1;67.7;7.956;23.8;2.1;0.12;0.36;12.14;160.68;100.98;418.918;3.59814074241582;4.57903753147161;2.87495250950579;4.27520463825982;0.371611257003601;0.0678560219634906;5.98855852532959;0.886678045223218;0.838191869393676;0.604529766725778;1.18997454934844;0.192397272174672;0.0753083156501395;0.451334083519672;0.0278537605829283;0.946373610483863;0.352685817571626;0.0336473932628399;1.18377418555285;0.0520968484976993;0.0411466787166897;1.21676607062211;2.41109069988428;15.2453572775107;0.674648429480714;0.723005926021833;1.95740628752252;1.20500987670306;11.5387043315517;1.68113573042475;3.05661041895409;2.7979741527349;1.04630125879582;3.53461203907961;8.15370731742229;10.2423417041512;5.88397505648663;560.8160936;268.524958277572;34.9903267;180.480251
TC-R3-P7;TC;P7;R3;63.6;8.048;23.6;3.9;0.52;0.33;10.38;174.11;36.92;364.548;3.98379287672114;3.63001667471341;2.32351796490694;2.53491007833027;0.414216996356326;0.0885149700916928;5.51529732205611;0.563568144363084;0.378197904062183;1.71094601105314;2.9201139578435;0.517758257392171;0.217330626559677;0.660514649348037;0.0500712718054157;0.89839877568158;0.218529431922546;0.0371273418824127;1.26719843811939;0.0404831559277829;0.0558464103802063;1.14120925559552;1.83166041501957;11.4934224668323;0.481996367270894;0.801274583716004;1.09264715961273;0.849836679698792;11.0842984080714;1.2383334475611;2.14887274723837;4.0792160625542;1.28689554354388;5.39228853847447;13.8125544870154;10.5771813639307;4.66196121434766;1109.397763;257.973454698047;116.137282;218.069777
TC-R4-P7;TC;P7;R4;65.2;8.11;23.8;6.1;0.72;1.29;2.93;70.41;30.36;428.496;3.6553458964074;3.90542345452068;2.27373036064719;2.0181094218873;0.427366311271512;0.0770756054456673;6.69508791847353;0.647244841524638;0.405521952306591;2.43551713708841;3.12888016142439;0.595560671132622;0.282275084448706;0.588404401386035;0.0652015688022363;0.788333736759395;0.226532682976838;0.0312633386475717;2.7595026304007;0.116090598111299;0.0398697522039234;0.743027200164028;1.36709403404306;17.343076322203;0.595217780622466;0.788333736759395;0.860824195311984;0.543678439144411;9.33314653864571;1.82132277113378;2.54622735665966;3.10802841044221;0.915192039226424;5.47969599760201;9.72104261721487;10.4640522440084;3.20770279095202;524.4225378;175.268989024994;42.6821117;77.9052136
